,category,highest_topic,highest_ratio,topic_ratio,topic2,topic4,topic6,topic1,topic5,topic3,attractions,attr_index
0,1,2.0,1.0,"[(2, 0.99999154)]",0.9999915361404419,0.0,0.0,0.0,0.0,0.0,Myeongdong_Shopping_Street-Seoul Myeong_dong_Cathedral-Seoul Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do Cheongnamdae-Cheongju_Chungcheongbuk_do Myeongdong_Seocobulhanjeungmag-Seoul Beautiplex_Myeongdong-Seoul Namdaemun_Market-Seoul,"[0, 1, 2, 38, 349, 376, 454]"
1,2,4.0,0.8381,"[(2, 0.16163644), (4, 0.8380901)]",0.16163644194602966,0.8380901217460632,0.0,0.0,0.0,0.0,Dongdaemun_Market-Seoul Migliore_Dongdaemun_Shop-Seoul Dongdaemun_Design_Plaza_DDP-Seoul Dongdaemun_Shopping_Complex-Seoul Dongdaemun_Gate_Heunginjimun-Seoul,"[18, 19, 20, 21, 22]"
2,3,6.0,0.997,"[(6, 0.9969783)]",0.0,0.0,0.9969782829284668,0.0,0.0,0.0,Jogyesa_Temple-Seoul Jongmyo_Shrine-Seoul Jongno_Jewelry_Shopping_Street-Seoul Cheonggyecheon_Stream-Seoul Jonglo3ga_Pojangmacha_Geoli-Seoul Cheonggyesa_Temple-Uiwang_Gyeonggi_do Cheonggyesan_Mountain-Gwacheon_Gyeonggi_do Cheonggyecheon_Museum-Seoul,"[67, 68, 69, 70, 71, 187, 461, 462]"
3,4,2.0,0.9694,"[(1, 0.028660106), (2, 0.96942466)]",0.9694246649742126,0.0,0.0,0.028660105541348457,0.0,0.0,Sinchon-Seoul Yonsei_University_Sinchon_Campus-Seoul Hongdae_Art_Market_Free_Market-Seoul,"[35, 362, 457]"
4,5,2.0,0.9192,"[(2, 0.9192478), (5, 0.06900284)]",0.9192478060722351,0.0,0.0,0.0,0.06900283694267273,0.0,Itaewon-Seoul Itaewon_Land-Seoul Itaewon_Antique_Furniture_Street-Seoul,"[40, 41, 42]"
5,6,5.0,0.7365,"[(1, 0.14486985), (2, 0.027985536), (3, 0.021880576), (5, 0.7364752), (6, 0.06878312)]",0.02798553556203842,0.0,0.06878311932086945,0.1448698490858078,0.7364752292633057,0.021880576387047768,Gwangandaegyo_Bridge-Busan Nurimaru_APAC_House-Busan Haeundae_Beach-Busan Haeundae_Dalmaji_gil_Road-Busan,"[3, 4, 5, 6]"
6,7,2.0,0.9997,"[(2, 0.99974006)]",0.9997400641441345,0.0,0.0,0.0,0.0,0.0,Gangnam_Underground_Shopping_area-Seoul,[16]
7,8,1.0,0.9602,"[(1, 0.9602102), (2, 0.03684112)]",0.036841120570898056,0.0,0.0,0.9602102041244507,0.0,0.0,Jamsil_Baseball_Stadium-Seoul Lotte_Cinema_Lotte_World-Seoul Jamsil_Sports_Complex-Seoul Seokchon_Lake-Seoul Lotte_World_Tower_Mall-Seoul,"[7, 8, 9, 10, 11]"
8,9,3.0,0.9975,"[(3, 0.99746835)]",0.0,0.0,0.0,0.0,0.0,0.9974683523178101,Dongmun_Market-Jeju_Jeju_Island Jeju_Folklore_Natural_Museum-Jeju_Jeju_Island Jeju_Stone_Park-Jeju_Jeju_Island Seongsan_Ilchulbong-Seogwipo_Jeju_Island Seongeup_Folk_Village-Jeju_Jeju_Island Yongduam_Rock-Jeju_Jeju_Island Jeju_Museum_of_Art-Jeju_Jeju_Island Songaksan_Mountain-Seogwipo_Jeju_Island Hallasan_National_Park-Seogwipo_Jeju_Island Geomunoreum-Jeju_Jeju_Island Jeju_Travel_Lucas-Jeju_Jeju_Island Jeju_Folk_Village_Jeju_Minsokchon-Seogwipo_Jeju_Island Hyeopjae_Beach-Jeju_Jeju_Island Jeolmul_Natural_Forest_Resort-Jeju_Jeju_Island Yongmeori_Beach-Seogwipo_Jeju_Island Eco_Land_Theme_Park-Jeju_Jeju_Island Shinhwa_Theme_Park-Seogwipo_Jeju_Island Mysterious_Road_Dokkaebi_Road-Jeju_Jeju_Island Jeju_Taxi_Tour_Best-Jeju_Jeju_Island Woljeongri_Beach-Jeju_Jeju_Island Jeju_Jungang_Underground_Shopping_Center-Jeju_Jeju_Island,"[30, 31, 32, 33, 34, 119, 151, 162, 164, 170, 186, 208, 227, 277, 320, 394, 395, 439, 453, 465, 483]"
9,10,1.0,0.9894,"[(1, 0.9893663)]",0.0,0.0,0.0,0.9893662929534912,0.0,0.0,Nami_Island-Chuncheon_Gangwon_do Chuncheon_Myeongdong_Dakgalbi_Street-Chuncheon_Gangwon_do Chuncheon_Mullegil-Chuncheon_Gangwon_do Gangchon_Rail_Park-Chuncheon_Gangwon_do Cheongpyeongsa_Temple-Chuncheon_Gangwon_do Soyang_Lake-Chuncheon_Gangwon_do,"[12, 27, 28, 311, 324, 327]"
