index,locate,rating,review,classfication,address,explain,mood,topic,reason,Cluster
0,양재시민의숲,4.4," 2,213",공원,서울특별시 서초구 양재2동 236,"산책로, 기념물, 테니스장, 농구장, 배구장이 있으며 큰 나무가 가득한 공원입니다.","깨끗한, 재미있는, 편안한, 쾌적한","공원, 둘레길, 벚꽃명소, 산책, 벚꽃구경","주말나들이, 피크닉, 산행, 데이트, 휴식",0
1,한강대교,4.5," 1,368",다리,서울특별시 이촌1동,석양을 감상하며 산책을 하거나 밤이 되면 조명으로 반짝이는 서울의 스카이라인이 보이는 다리입니다.,"재미있는, 깨끗한, 화려한, 웅장한","치킨, 도시락, 시민공원, 자전거대여","나들이, 데이트, 휴식, 피크닉",3
2,서울월드컵경기장,4.3," 6,328",경기장,서울특별시 마포구 성산2동 월드컵로 240,인기 있는 축구장이 자리한 유명한 경기장으로 쇼핑몰과 영화관을 갖추고 있습니다.,"활기찬, 재미있는, 화려한, 쾌적한","자전거대여, 공원, 콘서트, 치킨","나들이, 프로포즈, 데이트, 휴식",3
3,노을공원,4.6," 1,439",공원,서울특별시 마포구 상암동 486-6,가양대교와 양화대교 주변의 한강 올림픽대로 난지한강공원의 캠프장이 어우러진 풍경을 사계절 내내 감상할 수 있는 명소입니다,"편안한, 재미있는, 호젓한, 운치있는","공원, 라이딩, 캠핑, 산책, 야경","피크닉, 경치, 가족나들이, 휴식, 데이트",6
4,보신각,4.2," 2,138",역사적 장소,서울특별시 종로구 관철동 종로 54,시간을 알리는 데 사용된 1300년대 종각으로 정교한 외관이 특징이며 오늘날 매일 타종 행사를 진행합니다.,"재미있는, 화려한, 웅장한, 옛모습","공원, 술집, 공연, 야경, 일출","나들이, 데이트, 핫플레이스, 사진찍기",7
5,남한산성 북문,4.4," 1,818",역사적 명소,경기도 광주시 중부면 산성리 661,유서 깊은 군사 도시에 넓게 걸쳐 있는 남한산성의 아치형 석문입니다.,"고즈넉한, 화려한, 편안한, 웅장한","둘레길, 성곽, 트래킹, 일몰, 야경","경치, 산행, 가족나들이, 드라이브, 등산",1
6,국립중앙박물관,4.6," 16,569",박물관,서울특별시 용산구 서빙고동 서빙고로 137,"2005년에 문을 연 대규모 건물로, 한국의 문화 및 군사적 유물과 예술 작품이 소장되어 있습니다.","재미있는, 화려한, 신비로운, 웅장한","박물관, 공원, 체험학습, 공연, 미술관","주말나들이, 가족여행, 가족나들이, 유물",2
7,북악팔각정,4.3," 8,042",관광 명소,서울특별시 종로구 평창동 북악산로 267,산 정상에 있어 서울의 풍경이 한눈에 들어오고 야생화 정원과 둘레길이 있는 다채로운 색상의 팔각정입니다.,"분위기좋은, 화려한, 운치있는, 옛모습","레스토랑, 드라이브, 라이딩, 야경","나들이, 경치, 등산, 단풍구경, 휴식",0
8,서울숲공원,4.6," 7,780",공원,서울특별시 성동구 성수동1가 뚝섬로 273,"나무가 많고 자전거 도로가 있는 넓은 공원으로 장미, 호수, 나비 정원이 있고 사슴에게 먹이를 줄 수 있습니다.","재미있는, 화려한, 편안한, 쾌적한","자전거대여, 바닥분수, 식물원, 산책","주말나들이, 봄소풍, 데이트, 드라이브",3
9,행주산성,4.3," 3,233",역사적 장소,경기도 고양시 덕양구 행주동 행주로15번길 89,"기념비와 누각 사이로 산책로가 나 있는 수백 년 된 요새로, 무기가 전시되어 있고 언덕 아래 전망이 멋집니다.","분위기있는, 화려한, 편안한, 웅장한","공원, 둘레길, 국궁, 야경, 산책","주말나들이, 경치, 가족나들이, 드라이브",1
