index,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,avg,city,Cluster
0,0.5,0.5,0.25,0.5,0.75,0.25,0.5,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,0.33333333333333337,서울특별시 종로구,1
1,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.33333333333333337,0.6666666666666666,0.5,0.75,1.0,0.9999999999999999,서울특별시 종로구,2
2,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
3,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.9999999999999999,0.9999999999999999,0.5,1.0,0.75,0.9999999999999999,서울특별시 종로구,0
4,1.0,0.75,0.75,0.5,0.75,0.75,0.5,0.33333333333333337,0.6666666666666666,0.75,0.5,0.75,0.33333333333333337,서울특별시 종로구,1
5,0.75,0.5,0.5,0.75,1.0,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,1
6,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.6666666666666666,서울특별시 종로구,0
7,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
8,0.75,1.0,1.0,0.75,0.25,0.25,0.5,0.33333333333333337,0.33333333333333337,0.5,1.0,1.0,0.6666666666666666,서울특별시 종로구,1
9,0.5,0.75,0.75,0.5,0.75,1.0,0.75,0.6666666666666666,0.33333333333333337,0.5,0.75,0.5,0.33333333333333337,서울특별시 종로구,1
10,0.5,0.5,0.75,0.75,0.75,0.5,1.0,0.9999999999999999,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
11,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.9999999999999999,0.6666666666666666,0.75,0.75,0.5,0.6666666666666666,서울특별시 종로구,2
12,0.5,0.5,0.75,0.75,1.0,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
13,0.75,0.75,1.0,0.75,0.75,0.5,0.75,0.6666666666666666,0.33333333333333337,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
14,0.75,0.75,0.5,1.0,1.0,0.75,0.75,0.9999999999999999,0.9999999999999999,0.5,0.75,0.75,0.33333333333333337,서울특별시 종로구,2
15,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
16,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.5,0.6666666666666666,서울특별시 종로구,1
17,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
18,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.9999999999999999,0.6666666666666666,0.5,0.5,0.5,0.9999999999999999,서울특별시 종로구,2
19,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.6666666666666666,0.33333333333333337,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
20,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.9999999999999999,0.6666666666666666,0.5,0.75,0.5,0.6666666666666666,서울특별시 종로구,2
21,0.5,0.5,0.25,0.75,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
22,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.6666666666666666,0.9999999999999999,0.5,0.75,0.75,0.9999999999999999,서울특별시 종로구,2
23,1.0,1.0,0.5,0.75,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,2
24,0.75,0.75,0.25,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,0.6666666666666666,서울특별시 종로구,1
25,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.75,0.25,0.5,0.6666666666666666,서울특별시 종로구,1
26,0.5,0.5,0.75,0.75,0.75,1.0,0.5,0.33333333333333337,0.33333333333333337,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,1
27,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
28,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
29,0.75,1.0,0.75,0.75,0.5,0.75,0.75,0.6666666666666666,0.33333333333333337,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
30,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
31,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
32,0.75,1.0,0.75,0.75,0.5,0.75,0.75,0.6666666666666666,0.33333333333333337,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
33,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.6666666666666666,0.33333333333333337,0.5,0.75,0.5,0.6666666666666666,서울특별시 종로구,1
34,0.75,0.5,1.0,0.75,0.75,1.0,0.75,0.9999999999999999,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
35,1.0,0.5,0.75,0.75,0.75,1.0,0.75,0.9999999999999999,0.9999999999999999,0.5,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
36,0.75,0.75,0.5,0.75,1.0,0.5,0.5,0.33333333333333337,0.33333333333333337,0.75,1.0,0.5,0.6666666666666666,서울특별시 종로구,1
37,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.5,0.33333333333333337,서울특별시 종로구,1
38,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.6666666666666666,0.33333333333333337,0.5,0.5,0.5,0.33333333333333337,서울특별시 종로구,1
39,1.0,0.5,1.0,1.0,1.0,0.75,1.0,0.9999999999999999,0.9999999999999999,0.5,1.0,1.0,0.6666666666666666,서울특별시 종로구,0
40,1.0,0.5,0.75,0.75,0.75,1.0,0.75,0.9999999999999999,0.9999999999999999,0.5,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
41,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
42,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.9999999999999999,0.9999999999999999,0.5,0.75,0.75,0.9999999999999999,서울특별시 종로구,0
43,0.75,1.0,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,0.6666666666666666,서울특별시 종로구,1
44,0.75,1.0,0.75,0.75,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,2
45,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.6666666666666666,0.33333333333333337,0.75,0.5,0.75,0.6666666666666666,서울특별시 종로구,1
46,1.0,0.75,0.75,1.0,1.0,0.5,0.75,0.6666666666666666,0.33333333333333337,0.5,0.5,0.75,0.9999999999999999,서울특별시 종로구,2
47,0.75,1.0,0.5,0.75,0.75,0.5,1.0,0.9999999999999999,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,2
48,0.5,0.5,0.75,0.75,0.75,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
49,0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
50,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.6666666666666666,0.9999999999999999,0.5,0.75,0.75,0.9999999999999999,서울특별시 종로구,2
51,0.5,0.5,0.75,0.75,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,1
52,0.5,0.5,0.75,0.75,0.75,1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
53,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.9999999999999999,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
54,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.33333333333333337,0.33333333333333337,0.5,0.25,0.25,0.6666666666666666,서울특별시 종로구,1
55,1.0,0.5,0.5,0.75,0.75,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
