index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
10132,3203055070A_105050,3,3,3,2,3.0,4,2,3,4,4,3,2,2,3,서울특별시 종로구
12776,3531033044A_225130,5,5,4,4,5.0,5,3,3,3,4,3,4,5,5,서울특별시 종로구
8301,31030520171_129795,4,4,4,3,4.0,4,3,4,4,4,3,4,4,4,서울특별시 종로구
17634,2603058005A_40625,5,3,3,5,5.0,5,5,3,5,5,3,5,4,5,서울특별시 종로구
9653,3123013026A_128081,3,5,4,4,3.0,4,4,3,3,4,4,3,4,4,서울특별시 종로구
17466,2504065037A_272428,4,4,3,3,4.0,5,3,4,4,4,3,3,4,4,서울특별시 종로구
9665,3123056198A_217167,4,4,5,4,4.0,4,5,4,4,4,5,4,4,4,서울특별시 종로구
9666,3123058043A_246112,4,4,4,4,4.0,4,5,4,4,4,5,4,4,4,서울특별시 종로구
7565,2901011285A_13266,4,4,5,5,4.0,2,2,3,3,3,3,5,5,3,서울특별시 종로구
9670,3123061175A_17028,3,3,4,4,3.0,4,5,4,4,3,3,4,3,3,서울특별시 종로구
8186,31021550701_101089,4,3,3,4,4.0,4,3,5,5,4,3,4,4,4,서울특별시 종로구
3859,23010570101_38173,4,3,3,4,4.0,4,3,3,5,4,4,4,3,4,서울특별시 종로구
3863,2301061028A_38207,4,3,3,4,4.0,5,4,3,4,4,3,4,4,4,서울특별시 종로구
8183,31021540931_72138,4,4,4,5,4.0,4,3,4,4,3,3,4,4,4,서울특별시 종로구
3875,2301062182A_92867,3,4,4,3,5.0,5,4,4,5,5,3,4,4,4,서울특별시 종로구
3881,2301064069A_120628,4,3,3,4,4.0,5,4,4,4,4,3,4,4,3,서울특별시 종로구
3591,2206067121A_120364,4,3,3,4,4.0,4,4,4,4,4,4,4,3,4,서울특별시 종로구
3886,23010640841_151629,4,3,3,4,4.0,5,3,3,4,4,3,3,3,4,서울특별시 종로구
11733,34060120821_223952,5,3,3,3,5.0,5,5,5,5,4,3,3,3,5,서울특별시 종로구
8385,3104153113A_129932,4,4,5,4,4.0,4,4,5,4,3,4,4,4,4,서울특별시 종로구
8742,31060670771_160227,4,4,3,3,4.0,3,4,4,5,4,3,4,3,4,서울특별시 종로구
10445,33030510791_306804,4,3,3,2,4.0,3,5,3,4,4,3,3,3,4,서울특별시 종로구
18688,3304412404A_336513,5,5,5,4,5.0,4,3,4,4,5,3,4,4,4,서울특별시 종로구
18559,3304153048A_19143,4,5,5,3,4.0,4,5,4,4,4,3,3,3,4,서울특별시 종로구
9893,32010110341_17283,4,4,4,2,4.0,4,3,4,4,4,3,2,2,4,서울특별시 종로구
21416,39010631411_27979,4,4,4,4,4.0,3,3,3,4,4,4,2,3,3,서울특별시 종로구
21418,3901065332A_231210,4,3,3,4,4.0,4,5,3,3,3,3,4,4,4,서울특별시 종로구
11811,3408032078A_281661,4,4,5,4,4.0,4,4,5,4,4,5,4,4,4,서울특별시 종로구
9556,3120052015A_189199,4,5,4,4,4.0,4,3,4,4,4,3,4,4,4,서울특별시 종로구
18158,31092700181_276761,4,4,5,4,4.0,3,4,4,4,3,4,4,4,4,서울특별시 종로구
9575,3120055047A_275590,4,5,5,4,4.0,4,3,4,4,4,3,4,4,4,서울특별시 종로구
8426,31041600771_130040,4,5,4,5,4.0,5,5,4,4,4,4,4,5,4,서울특별시 종로구
22256,31092700181_276761,4,4,5,4,4.0,3,4,4,4,3,4,4,4,4,서울특별시 종로구
12869,3601051034A_22784,4,4,4,4,4.0,4,4,3,4,3,3,4,3,4,서울특별시 종로구
8391,31041560221_71388,4,4,3,5,4.0,4,5,4,5,4,3,4,4,4,서울특별시 종로구
3534,22060560851_208080,4,5,3,4,4.0,4,5,4,5,5,3,4,5,4,서울특별시 종로구
3887,23010640841_151631,4,4,4,3,4.0,5,3,3,3,3,4,5,3,3,서울특별시 종로구
