
장소,평균평점,리뷰개수,구분,주소,설명,cluster
양재시민의숲,4.4," 2,213",공원,서울특별시 서초구 양재2동 236,"산책로, 기념물, 테니스장, 농구장, 배구장이 있으며 큰 나무가 가득한 공원입니다.",0
한강대교,4.5," 1,368",다리,서울특별시 이촌1동,석양을 감상하며 산책을 하거나 밤이 되면 조명으로 반짝이는 서울의 스카이라인이 보이는 다리입니다.,0
서울월드컵경기장,4.3," 6,328",경기장,서울특별시 마포구 성산2동 월드컵로 240,인기 있는 축구장이 자리한 유명한 경기장으로 쇼핑몰과 영화관을 갖추고 있습니다.,4
노을공원,4.6," 1,439",공원,서울특별시 마포구 상암동 486-6,가양대교와 양화대교 주변의 한강 올림픽대로 난지한강공원의 캠프장이 어우러진 풍경을 사계절 내내 감상할 수 있는 명소입니다,0
보신각,4.2," 2,138",역사적 장소,서울특별시 종로구 관철동 종로 54,시간을 알리는 데 사용된 1300년대 종각으로 정교한 외관이 특징이며 오늘날 매일 타종 행사를 진행합니다.,2
남한산성 북문,4.4," 1,818",역사적 명소,경기도 광주시 중부면 산성리 661,유서 깊은 군사 도시에 넓게 걸쳐 있는 남한산성의 아치형 석문입니다.,3
국립중앙박물관,4.6," 16,569",박물관,서울특별시 용산구 서빙고동 서빙고로 137,"2005년에 문을 연 대규모 건물로, 한국의 문화 및 군사적 유물과 예술 작품이 소장되어 있습니다.",1
북악팔각정,4.3," 8,042",관광 명소,서울특별시 종로구 평창동 북악산로 267,산 정상에 있어 서울의 풍경이 한눈에 들어오고 야생화 정원과 둘레길이 있는 다채로운 색상의 팔각정입니다.,4
서울숲공원,4.6," 7,780",공원,서울특별시 성동구 성수동1가 뚝섬로 273,"나무가 많고 자전거 도로가 있는 넓은 공원으로 장미, 호수, 나비 정원이 있고 사슴에게 먹이를 줄 수 있습니다.",0
행주산성,4.3," 3,233",역사적 장소,경기도 고양시 덕양구 행주동 행주로15번길 89,"기념비와 누각 사이로 산책로가 나 있는 수백 년 된 요새로, 무기가 전시되어 있고 언덕 아래 전망이 멋집니다.",3
전쟁기념관,4.6," 13,977",전쟁 박물관,서울특별시 용산구 남영동 이태원로 29,"한국의 전쟁을 다루는 박물관으로, 전시회장과 기념비, 야외 전차 전시가 마련되어 있습니다.",3
광화문광장,4.3," 8,941",역사적 명소,서울특별시 종로구 세종로 세종대로 172,서울시 친환경 재개발의 일환으로 2009년에 문을 연 대형 공공 광장입니다.,3
창의문,4.4," 1,082",역사적 명소,서울특별시 종로구 청운동,14세기에 건립된 성벽의 웅장한 석조 문으로 18세기에 목조 정문이 재건되었습니다.,3
서대문자연사박물관,4.3," 2,247",자연사 박물관,서울특별시 서대문구 연희동 연희로32길 51,"공룡의 뼈, 나비, 화석 전시실이 있는 현대 자연사 박물관입니다.",3
남산공원,4.6," 1,289",공원,서울특별시 중구 용산2가동 삼일대로 231,서울에서 가장 큰 공원으로 조용하고 나무가 울창한 언덕에 산책로가 있으며 전망대와 케이블카도 이용할 수 있습니다.,0
국립민속박물관,4.5," 1,599",박물관,서울특별시 종로구 세종로 삼청로 37,"1946년에 설립된 국립 박물관으로 한국인의 역사, 문화, 삶을 기념합니다.",1
대림미술관,4.2," 2,091",미술관,서울특별시 종로구 통의동 35-1 대림미술관,현대적으로 재개발한 공간에 자리한 현대 사진 및 디자인 미술관으로 카페가 있고 가이드 투어가 제공됩니다.,4
문화비축기지,4.2," 1,945",공원,서울특별시 마포구 성산동 증산로 87,더 이상 사용되지 않는 기름 탱크를 전시관과 공연장으로 탈바꿈한 공간이며 잘 조경된 정원이 있습니다.,4
인천 차이나타운,3.9," 9,340",관광 명소,인천광역시 중구 북성동,중국인 소유의 레스토랑과 기업으로 유명한 번화한 관광 및 문화 지구입니다.,5
남대문시장,4.2," 21,854",시장,서울특별시 중구 회현동 남대문시장4길 21,"1964년에 문을 연 이 넓은 노점상 지역에서는 옷, 생활용품, 지역 생산품이 판매됩니다.",2
감천문화마을,4.3," 20,337",관광 명소,부산광역시 사하구 감천2동 감내1로 200,"다채로운 주택, 벽화, 상점, 카페 등이 있는 그림 같은 명소입니다.",4
광장시장,4.1," 29,165",재래시장,서울특별시 종로구 종로4가 창경궁로 88,"다양한 전통 식료품, 의상, 기념품을 판매하는 유서 깊은 실내 시장입니다.",2
창경궁,4.6," 2,701",고궁,서울특별시 종로구 와룡동 창경궁로 185,"네 곳의 한국 전통 궁궐, 사당, 정원으로 이루어진 단지로, 가이드 투어와 자유 관람을 즐길 수 있습니다.",0
여의도공원,4.4," 5,004",공원,서울특별시 영등포구 여의동 여의공원로 68,"1971년에 개장했으며 벚나무, 아름다운 연못, 산책로가 있는 공원입니다.",0
충무아트센터,4.3," 2,435",아트 센터,서울특별시 중구 흥인동 퇴계로,서울시 중구문화재단이 운영·관리하는 복합문화예술공간입니다.,3
석촌호수 공원,4.5," 4,383",공원,서울특별시 송파구 잠실동 47,"넓고 아름다운 호수가 있는 유명 공원으로 이벤트 공간, 조깅 코스, 테마파크가 있습니다.",0
탑골공원,3.7," 2,910",공원,서울특별시 종로구 종로2가 종로 99,국보로 보호되는 10층 석탑이 자리한 아름다운 공원으로 전통적인 양식의 팔각정이 있습니다.,5
장항스카이워크,4.2," 2,119",관광 명소,충청남도 서천군 장항읍 장항산단로34번길 74-45, 장항송림산림욕장에 세워진 전망대로 천연 해솔숲 사이로 탁 트인 장항 앞바다가 보이는 환상적인 조망을 할 수 있습니다.,4
용인자연 휴양림,4.4," 2,010",휴양림,경기도 용인시 처인구 모현면 초부로 220,수려한 자연경관에 숙박시설과 산책로 어린이놀이터 등을 갖춘 체류형 휴식처이며 산책 코스를 갖춘 등산로도 있습니다.,3
자만벽화마을,3.9," 1,284",관광 명소,전라북도 전주시 풍남동 한옥레일바이크,언덕 위 집과 좁은 골목길에 다양한 만화 스타일의 벽화가 그려진 마을입니다.,5
용연구름다리,4.1," 1,677",관광 명소,제주특별자치도 제주시 용담이동,나무가 우거진 절벽의 깊은 만에 있는 상징적인 다리로 정자가 보이는 야경으로 유명합니다.,4
성산일출봉,4.6," 1,019",산봉우리,서귀포시 성산읍,화산 분화로 형성된 이 독특한 분화구 형태의 봉우리는 고대의 성과 비슷하다고 합니다.,1
제주조천 스위스마을,3.5," 1,509",관광 명소,제주특별자치도 제주시 조천읍 함와로 566-27,제주도의 아름다움과 스위스의 이국적인 정취를 담은 휴양지입니다.,5
제주불빛정원,4.0," 1,236",테마파크,제주특별자치도 제주시 애월읍 평화로,일몰부터 자정까지 밤의 정취를 만끽하는 제주시의 대표적인 야간 명소이며 화려한 불빛과 음악과 분위기 있는 포토존이 어우러져 늦은 밤까지 시간을 보내기 좋습니다.,2
수종사,4.5," 1,397",불교사찰,경기도 남양주시 조안면 북한강로433번길 186,경기도 남양주시에 있는 대한불교조계종 소속의 사찰입니다.,1
배곧생명공원,4.5," 2,056",공원,경기도 시흥시 배곧 2 로 25,배곧마루라는 작은 언덕과 스카이데크 갈대 산책로와 공연장 등이 있어 가족끼리 가기에 좋은 곳입니다.,0
덕진공원,4.1," 3,217",공원,전라북도 전주시 덕진구 덕진동1가 권삼득로 390,호수의 연꽃과 나무다리를 건너면 만날 수 있는 화려한 탑으로 잘 알려진 고요한 정원입니다.,4
이화동 벽화마을,4.1," 4,031",관광 명소,서울특별시 종로구 이화동 낙산4길 49,"색색의 벽화, 모자이크 타일로 된 계단, 철제 조형물이 늘어선 골목길입니다.",4
벽골제,4.2," 1,250",관광 명소,전라북도 김제시 부량면 신용리 119-1 KR, 우리나라 최초의 저수지라는데 의미가 있을 뿐 아니라 당시에 이미 이러한 저수지 축조가 가능할 정도의 고도로 발달된 토목기술을 보유하고 있었음을 입증해 준다는 점에서 우리나라 과학기술사에서도 획기적인 사실을 제공해 주는 유적입니다.,4
